Date,Open,High,Low,Close,Adj Close,Volume
8/1/19,10089.25,10488.80957,9890.490234,10409.79004,10409.79004,442037342
8/2/19,10409.79004,10666.63965,10340.82031,10528.99023,10528.99023,463688251
8/3/19,10528.99023,10915,10509.34961,10820.41016,10820.41016,367536516
8/4/19,10820.41016,11074.9502,10572.24023,10978.91016,10978.91016,431699306
8/5/19,10978.91016,11945.37988,10978.88965,11807.95996,11807.95996,870917186
8/6/19,11807.95996,12316.84961,11224.09961,11467.09961,11467.09961,949534020
8/7/19,11467.09961,12138.54981,11393.98047,11974.28027,11974.28027,834719365
8/8/19,11974.28027,12042.87012,11498.04004,11982.79981,11982.79981,588463519
8/9/19,11982.79981,12027.57031,11674.05957,11865.20996,11865.20996,464214586
8/10/19,11865.20996,11971.34961,11232.41992,11293.58984,11293.58984,470049694
8/11/19,11293.58984,11584.34961,11119.32031,11549.05957,11549.05957,292814721
8/12/19,11549.05957,11554.74023,11240.37988,11387.41016,11387.41016,229908138
8/13/19,11387.41016,11439.48047,10765.29981,10872,10872,483240069
8/14/19,10872,10873.44043,9924.580078,10031.88965,10031.88965,728247545
8/15/19,10031.88965,10451.61035,9497.120117,10308.50977,10308.50977,842979140
8/16/19,10308.50977,10544.96973,9764.320313,10360.42969,10360.42969,635040831
8/17/19,10360.42969,10474.63965,10010.75977,10220.75,10220.75,251018339
8/18/19,10220.75,10512.88965,10079.45996,10326.25,10326.25,223456175
8/19/19,10326.25,10937.25977,10278.30957,10922.16016,10922.16016,426168059
8/20/19,10922.16016,10956.05957,10576.37012,10770.75977,10770.75977,332208752
8/21/19,10770.75977,10805.7002,9870.070313,10131.66992,10131.66992,584554031
8/22/19,10131.66992,10231.99023,9777.05957,10104.11035,10104.11035,380411207
8/23/19,10104.11035,10468.13965,10053.66992,10410.49023,10410.49023,324471966
8/24/19,10410.49023,10430.99023,9911.200195,10150.07031,10150.07031,283755017
8/25/19,10150.07031,10353.9502,9907.030273,10141.75,10141.75,259448931
8/26/19,10141.75,10626.92969,10141.75,10364.91016,10364.91016,437989368
8/27/19,10364.91016,10381.91992,10038.25977,10175.46973,10175.46973,269489962
8/28/19,10175.46973,10281.58984,9600.830078,9722.830078,9722.830078,486936428
8/29/19,9722.830078,9724.519531,9344.69043,9492.80957,9492.80957,406305621
8/30/19,9492.80957,9699.849609,9368.269531,9587.25,9587.25,276606372
8/31/19,9587.25,9714.110352,9512.030273,9624.540039,9624.540039,148320616
